Transaction_ID,Date,Time,Sender_ID,Receiver_ID,Sender_Country,Receiver_Country,Payment_Method,Transaction_Amount,Transaction_Currency,Transaction_Velocity,Unusual_Time,Multiple_Currency_Conversions,Repeated_Failed_Attempts,Device_Type,Browser,IP_Address_Change,Account_Age_Days,Num_Linked_Cards,VPN_Usage,Transaction_Channel,Is_New_Device,Is_New_Location,Merchant_Name,Merchant_Category,Transaction_City,Latitude,Longitude,Is_Fraudulent,Is_Known_Fraudster,Is_Sanctioned_Entity
bb7292e9-e9d7-4b13-811d-43582adf4a79,2025-10-27,10:57:37,a6d498ce-1e09-4924-a122-d9ad0fa08c85,19ccbd06-bea2-407d-b6a7-94ad660b3fe0,Australia,Netherlands,Payoneer,57164.02,AUD,2,False,False,0,Mobile,Opera,False,217,1,False,Online,True,False,Booker PLC,Healthcare,London,-14.274822,62.332401,False,False,False
7a8b78e9-3c03-4087-9e83-a39835ae213e,2025-09-28,19:47:52,60a51eab-b2d3-4eee-aa04-f84ac1498c4c,12ca5694-920e-4338-b2f9-a9b1799a3bc3,UK,Japan,PayPal,77738.31,GBP,3,False,False,1,Tablet,Safari,False,697,4,False,Online,False,False,Sullivan Ltd,Dining,London,-12.907406,179.363871,False,False,False
713b54c6-5216-4e89-bd88-79cfc77c327e,2025-12-07,15:54:36,b1767512-fb29-4bb6-92ae-c8913bb5f8e4,b8c96c11-3dcf-4f3a-9931-6b47998413d5,Netherlands,Canada,Payoneer,47489.8,EUR,2,False,False,1,Desktop,Chrome,False,303,4,False,ATM,False,False,Adkins-Boyd,Fuel,Amsterdam,43.981477,-62.716442,False,False,False
6114fe6e-f7e7-4305-88e4-341dc2e1c278,2025-11-15,10:19:15,2fbf131a-3470-4df9-933b-f8c8982e496e,5f1dda79-ff80-4bf3-a096-9feeb821da9e,Brazil,Germany,Cryptocurrency,79520.21,BRL,7,True,True,3,Tablet,Chrome,False,166,3,False,Online,False,False,Gomez LLC,Clothing,Sydney,-81.114557,-120.109558,True,False,False
69b8ce84-d42e-4800-89d0-55e65aee85d7,2026-03-13,13:15:44,2ccc1025-a212-487f-9c21-057ad4d584d0,62087e53-1fb2-4934-9b50-6b259cf42e10,Germany,UK,Cryptocurrency,91544.69,EUR,1,True,False,0,Mobile,Opera,False,1654,3,False,ATM,False,True,Martin-Weiss,Healthcare,Sao Paulo,10.203287,48.196673,False,False,False
ba0b0ac8-b0f9-4c1a-b491-37c04c91b976,2025-12-02,20:29:19,8dc22b7d-029f-4ebc-afbf-fcd7ac0f62dd,f33c3dd5-3126-4426-9181-6dcaace8c898,India,France,PayPal,36279.16,INR,9,False,False,1,Desktop,Opera,False,63,5,False,Online,False,False,Golden Ltd,Travel,London,56.959678,29.002974,True,False,False
618c8df7-c968-4025-b079-a987603e2715,2026-04-02,21:43:31,1f85a766-957e-499f-8007-2e7dd93abc0d,3bd5dd41-3b6b-4271-b35a-31c1e3cd52a2,Japan,Netherlands,Cryptocurrency,105720.27,JPY,6,True,True,3,Desktop,Chrome,False,45,7,True,Online,False,False,Norris and Sons,Travel,Berlin,-71.198726,75.209081,True,False,False
34c0ba80-2477-4869-be03-4af58e618a84,2025-07-21,08:01:43,75d23e01-9810-4f41-b368-a4d4cb5f070a,34ebbe80-3c87-4003-9233-1791a716e175,USA,France,Cryptocurrency,151211.53,USD,10,True,True,8,Mobile,Safari,False,116,5,False,POS,True,False,Baker-Hernandez,Grocery,New York,87.668024,-26.974004,True,False,False
6ec5a6f1-2786-4e67-b845-90832bba9368,2025-11-04,16:47:25,b9359e1b-5ef2-4ad6-a018-241962dc51bb,69d4bb61-bd39-4b78-aa94-5bdac62226a1,Japan,Netherlands,Skrill,58230.69,JPY,2,False,False,1,Mobile,Edge,False,65,2,False,POS,True,False,Morris Inc,Healthcare,Tokyo,-5.029229,162.417672,False,False,False
e09e07d6-9b02-4a66-a95f-c54fc2cad0d6,2026-02-14,21:30:24,7e2ebb96-4feb-485a-a7f9-bdd4363ecb72,788deae4-1c0f-4245-a1b3-6811b795c786,Japan,UK,bank transfer,86092.91,JPY,9,False,False,2,Desktop,Chrome,False,149,4,False,Online,False,False,Black PLC,Electronics,London,-77.983604,-30.429506,True,False,False
d80b340a-e7f8-4b3c-8339-e3e8ec4e6fc9,2026-06-11,23:56:49,48fabe27-5912-434d-9fe9-37614c10e203,2e261f10-3162-4081-8bbd-eed6924d6137,India,Japan,Skrill,88392.36,INR,3,True,False,1,Mobile,Firefox,False,934,1,False,Online,False,False,Moran Ltd,Travel,New York,69.055533,98.239759,False,False,False
e8ede96f-c844-44fb-aab0-51f776b89f6f,2026-01-21,21:25:51,2b3222ae-0e2c-400f-a8dc-d51f9ef18180,a3d8e7fe-ae8b-4e0b-ac51-213220daaf2d,Canada,Brazil,bank transfer,89092.48,CAD,2,False,False,0,Desktop,Opera,False,379,2,False,POS,False,False,King and Sons,Travel,Berlin,33.508651,-24.05714,False,False,False
499db507-68ab-49df-96ae-afd25c49c268,2025-07-12,13:27:32,c9a24fac-edf6-41eb-b1fe-c1d3329055eb,3c550ec8-bd75-4bbf-ab43-7fd3d82d2ef4,Canada,Canada,UPI,52478.18,CAD,3,False,False,0,Mobile,Opera,False,33,2,False,POS,False,False,Austin and Sons,Dining,Toronto,32.966093,145.335744,False,False,False
a30b9dea-d2bc-404d-8990-f534ab298f0f,2025-12-22,15:44:15,39f64982-2580-456a-911c-965e695fbed8,2129d42e-922d-4be1-aac4-27b4108221a4,India,Brazil,Cryptocurrency,61626.2,INR,2,True,False,1,Desktop,Edge,False,3005,4,False,POS,False,False,Hernandez-Richards,Entertainment,Mumbai,51.845133,158.233195,False,False,False
3aadf731-573c-4722-aa90-08400b502f89,2026-05-10,08:00:02,b0c29354-a9cd-40dc-8d4e-b45842ca2b46,20051945-b071-4f99-a95d-f6c993c25b6a,France,Netherlands,Cryptocurrency,140999.68,EUR,6,False,False,6,Tablet,Chrome,True,30,3,False,POS,False,False,"Graham, Wright and Harper",Electronics,Mumbai,63.502562,-59.851758,True,False,False
2ad55f85-8044-48f1-9266-17b7c6810a68,2026-01-08,11:27:36,9bf7d3dd-49b8-4351-9f11-782112d4bc1a,b8eade68-c0af-425e-9eb0-5eb6d0a82f04,Canada,Australia,UPI,46222.67,CAD,1,False,False,1,Desktop,Edge,False,3356,5,False,POS,False,False,Burke-Ramsey,Electronics,Paris,41.041444,36.942914,False,False,False
7729fca6-2c38-48fa-8ed6-0c877a8d85cd,2026-02-19,11:03:45,42a18609-bfc2-4bc9-a8e6-53598b21d1d2,46c7311e-436d-4f6b-bb71-c9c399c2b711,UK,Australia,Payoneer,82507.37,GBP,3,False,True,2,Tablet,Edge,False,2135,2,False,POS,False,False,"Caldwell, Powell and Gonzales",Clothing,New York,13.134063,-66.998431,False,False,False
54ea4d29-7884-4cc5-9ac9-2016274fa5e1,2025-12-04,22:27:37,7588eef0-106b-4d11-bbb5-21ece1a4bf6c,f1891f00-a49f-44a9-a8ac-3d93884e541d,UK,UK,PayPal,83662.21,GBP,4,False,False,1,Desktop,Chrome,False,2401,2,False,ATM,False,False,"Cox, Brown and Noble",Grocery,New York,1.080545,143.274985,False,False,False
2a2f7671-780f-4907-8628-27c2349085d3,2026-03-09,13:13:54,8da10f12-4cc7-4709-a7b5-ccb8cdd02315,f07dc973-19d2-4e32-917a-196734f3e58c,USA,France,UPI,62625.22,USD,3,True,False,0,Desktop,Firefox,False,1090,5,False,ATM,False,False,"Thomas, Washington and Rodriguez",Grocery,Tokyo,45.460654,49.709622,False,False,False
862eb4a4-d356-4821-8bad-9062af463d89,2025-10-15,14:13:47,42f6759b-7aca-45d0-8280-db4336e7ba81,1fd3aefd-964a-47fa-9662-92ef5c78d1c1,India,Japan,Payoneer,45161.29,INR,2,False,False,1,Mobile,Firefox,False,207,3,False,POS,False,False,Moran-Howard,Grocery,Paris,-53.56208,-169.015847,False,False,False
