Transaction_ID,Date,Time,Sender_ID,Receiver_ID,Sender_Country,Receiver_Country,Payment_Method,Transaction_Amount,Transaction_Currency,Transaction_Velocity,Unusual_Time,Multiple_Currency_Conversions,Repeated_Failed_Attempts,Is_Fraudulent,Is_Known_Fraudster,Is_Sanctioned_Entity
919d997d-9ac5-414a-8895-baacbdc4531d,2024-03-24,01:27:52,2ba849f6-cdea-4fe0-b855-e2c5279d9c66,666d6b75-f192-46d2-b5f7-db4372052e45,Netherlands,Germany,Cryptocurrency,6305.46,EUR,3,False,False,1,False,False,False
5bfc60f7-9d1d-4d8d-adfa-84915c1d9b7f,2024-03-03,16:26:43,c2cbf265-fe20-46b5-8d5d-e861212a6d42,e0ddffab-a496-4da2-9b0f-3187679c5dd1,India,USA,Skrill,29694.61,INR,5,False,False,7,False,False,True
f6f01238-382c-411d-a89c-6447760d783c,2023-11-09,02:25:37,b3415f4e-51d6-4c83-b07b-2b5dcfaaae70,ac36578a-6a14-42f3-861e-21f99ef95ca1,Japan,India,PayPal,24954.42,JPY,1,False,False,1,False,False,False
f79eb1c9-efce-452a-ba12-7746db2d2d1b,2024-01-16,19:29:46,8dfda3c5-6f06-4602-a9b1-d8aa84037c1c,98c11b3c-ae47-464a-8220-61a921f594f0,Germany,Brazil,Skrill,76145.4,EUR,3,False,False,0,False,False,False
6b9650e8-6636-41f9-8272-cba750d4232f,2024-05-14,17:52:09,56d9efb5-8e39-49ee-8f40-2022ebb5fcec,9b15e6b6-ce35-452c-b302-536e6f719c45,Japan,UK,Skrill,40781.26,JPY,6,False,False,0,True,False,False
4e57f0e4-6563-4e2c-80f7-5a8cf9c1f2e4,2024-04-25,07:48:06,402e1458-95c6-4904-9074-0be1dbbae0a6,ad50f499-6bc2-498a-8d40-aaf680463682,India,Australia,UPI,99718.8,INR,10,False,False,0,True,False,False
9930d384-9ac7-4069-9e8c-55bab49a116b,2024-06-29,03:44:47,c0f291b0-f3ef-4c4f-b902-d5d58a5b2cc5,e6745f19-bbcd-46fa-b6ce-34fbc271c567,Germany,USA,Skrill,2835.31,EUR,2,False,False,0,False,False,False
1bba8afe-29dc-404b-8cbb-33956d06fa23,2024-10-09,08:00:50,d36b8a3b-0884-4dc2-bf04-63f46afe85bb,aa283d64-b1c1-4616-9e2e-4c1d2eae4ba1,India,India,PayPal,20323.37,INR,2,False,False,1,False,False,False
7039804e-e7ca-4034-a3cb-f3ed36ef2c80,2023-12-07,04:21:57,ab5ab39f-c3d8-4775-be4c-67373dc21dd5,8b5f6f60-9e2d-40e2-b7eb-3268d09d6878,Germany,Netherlands,PayPal,79493.57,EUR,4,False,False,0,False,False,False
60ff05fc-05f8-4807-8c07-ec3283d1942e,2024-01-16,00:37:44,67a9a198-e075-4782-bbfa-dfccf884e9e9,7eb33f1d-57db-46d2-80ff-fcff55bb1b99,India,Japan,UPI,69332.22,INR,2,False,False,0,False,False,False
418e94d0-59a4-498b-a66e-b06a135d31b8,2024-10-02,06:59:27,ed0d4558-6a34-4464-ac68-5b28b8bbc618,cb213b08-8c09-49fc-936a-9cce44f7cfeb,Japan,India,Cryptocurrency,24023.17,JPY,2,False,False,1,False,False,False
43e7d48e-19c1-4371-8ec9-4815b279126c,2024-08-03,08:10:10,3f0635da-2203-4517-b10d-7ee2a7609db5,7431ae18-65a8-450f-b21b-68b4e33db55b,Netherlands,Australia,UPI,11700.23,EUR,2,True,False,0,False,False,False
3298276f-4e7f-4842-bf6b-0e4c77da2c5f,2024-02-05,05:34:28,0c8edd9c-c989-4af4-a114-e2940b34c14b,0d434d4f-2387-44ff-a26c-7b455513e80a,Australia,France,Payoneer,54815.05,AUD,3,False,False,1,False,False,False
68ecff1a-1871-4ed3-83d9-fb877208ebab,2024-05-14,05:26:31,e54f2a7b-b467-4fad-b81c-af6585f18da1,a60d5ef0-0a7b-4716-b1f7-371ecf66e38e,UK,Netherlands,Cryptocurrency,94905.0,GBP,1,True,False,0,False,False,False
79697d58-4797-496c-99ba-cb022fcae8c9,2024-08-27,05:53:57,118d963b-2922-4e8a-9ff1-ec0cb819313a,d6886da7-594e-4120-9292-bfb090ad9772,Brazil,Canada,UPI,15457.74,BRL,2,False,False,2,False,False,False
199093c4-6568-474f-91b1-4faf447a3d7c,2023-10-28,06:51:55,6cb7267c-3836-490f-aa6d-1dbb1fdb892d,e1377e16-bb26-42ea-874a-0b0fa9bf336a,Netherlands,France,Cryptocurrency,73557.64,EUR,5,False,False,0,False,False,False
34ba4181-e842-4d6a-af00-3182a00996e7,2024-06-01,21:23:29,f1c6ca77-4734-4dfe-8ca6-d48871622a1f,79ace765-68db-4f1d-bbbd-cc1fcf0f804b,India,Australia,Cryptocurrency,68332.74,INR,2,False,False,1,False,False,False
fc2fded5-db99-4aae-8bd7-b1b42905dc20,2024-04-15,02:23:35,660c699a-4cff-4d0d-bef0-a1c8ce669e10,44dec800-88dc-4f32-a3bb-44a1f2e999d3,USA,Australia,Skrill,74250.07,USD,2,False,True,0,False,False,False
06bb7b8f-589b-48b2-b34c-d726462c5f1c,2024-07-05,08:30:09,1c46149e-b073-46ab-992f-ff633768b910,5a39583c-7727-414e-8017-ad33cece0aa1,Canada,Australia,Skrill,1467.54,CAD,5,True,False,1,False,False,False
2fd69397-8d3d-4e4a-a290-019221c2fbed,2024-01-07,19:34:21,900688bc-0d80-4a6f-9224-4b5a7a7b09cf,c262df02-640e-44c6-b136-a2f6eea2f5f7,Japan,Germany,Payoneer,89958.31,JPY,3,True,False,0,False,False,False
0e5d4006-76f2-49f8-a028-9d97920fac1d,2024-07-21,05:57:18,ec128b3a-3abe-4381-b4f7-7db5c8b61909,5c6f528a-e68e-4202-b9eb-7ec4c8751656,Brazil,Canada,Cryptocurrency,33200.8,BRL,3,True,False,0,False,False,False
66118367-11d5-40e1-9e31-fffeea93d3d4,2024-02-20,07:40:12,3bc30761-bb9f-4cdc-9baf-a0c0ed55f231,a5148b4f-6c5a-496b-aafe-ad0bbc826c3f,Brazil,Canada,PayPal,3401.59,BRL,3,False,False,0,False,False,False
af12809e-2a23-44e3-938d-387cd0cf1950,2024-10-07,10:34:07,4ac049b8-71c0-4722-a999-6839b1c03333,0e80b11c-64fc-43b0-b790-7a0b7622b8ae,Brazil,France,bank transfer,18559.15,BRL,3,False,False,0,False,False,False
0ad38766-31a9-4405-844a-ac97ddce3ac4,2024-01-22,01:52:56,9f7058a6-2c2b-497c-9421-25db317a8150,2f7a4733-a03a-49e7-9a5e-67dc28dd5eed,India,USA,Skrill,32078.22,INR,2,False,False,0,False,False,False
